2024-02-24 08:59:00.238 [info] Telemetry level is off
2024-02-24 08:59:00.238 [info] Experiments are disabled, only manually opted experiments are active.
2024-02-24 08:59:00.238 [info] Default formatter is set to null for workspace /home/sivasli_58/Documents/PROJECTS/MTahir_Bot
2024-02-24 08:59:00.238 [info] Test server listening.
2024-02-24 08:59:00.238 [info] Python interpreter path: /bin/python
2024-02-24 08:59:01.267 [info] Starting Jedi language server for MTahir_Bot.
2024-02-24 09:00:12.593 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/test.py
2024-02-24 09:00:26.180 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/test.py
2024-02-24 09:01:18.455 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:01:41.582 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/test.py
2024-02-24 09:02:06.858 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/test.py
2024-02-24 09:03:04.848 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:03:46.335 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:04:01.964 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:04:34.649 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:04:52.181 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:05:30.533 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
2024-02-24 09:06:17.801 [info] Discover tests for workspace name: MTahir_Bot - uri: /home/sivasli_58/Documents/PROJECTS/MTahir_Bot/prototype1.py
